#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
69,F001,Eaton D7PF2AT1 Cutler Hammer Power RELAY 24VDC 15A DPDT DIN Rail,11,,0,18,Platt,Eaton / Cutler Hammer,D7PF2AT1,,7.25,1,http://datasheet.octopart.com/D7PF2AT1-Cutler-Hammer-datasheet-21198425.pdf,,,,,,,0,79.75,
70,F002,Eaton / Cutler Hammer D7PA9 C-H 2 POLE SOCKET FOR D7 1 AN,11,,0,18,Platt,Eaton / Cutler Hammer,D7PA9,,7.7,1,,,,,,,,0,84.7,
71,F003,"Clip, hold down",10,,0,18,Platt,Eaton,PQC-1342,,0.8,1,,,,,,,,0,8,
72,F020,Terminal Block Relay 24VDC Coil SPDT : Complete Block and Relay,5,,0,0,Eoff,Phoenix Contact,2966171,Phoenix 2966171 PLC-RSC-24DC/21 Relay Module w/Screw Connection & Pluggable Miniature Relay 24 VDC,9.86,1,http://datasheet.octopart.com/2966171-Phoenix-Contact-datasheet-15541769.pdf,,,,,,,0,49.3,
73,F021,Terminal Block Relay - Block only,5,,0,0,Eoff,Phoenix Contact,2966016,Bare Base Term Block Screw Connection 24vdc Input 1pdt Contact Green Plastic Housing 6.2mm Pitch,,1,http://datasheet.octopart.com/2966016-Phoenix-Contact-datasheet-32749564.pdf,,,,,,,0,,
74,F030,"Terminal Block DPDT Relay 24VDC Coil, 250V 8A continuous, LED indicator light",12,,0,3,Eoff,Phoenix Contact,2903334,Phoenix 2903334 RIF-1-RPT-LDP-24DC/2X21 Relay Module 18 Milli-Amp Input 2 Pole,8.42,1,http://datasheet.octopart.com/2903334-Phoenix-Contact-datasheet-34215345.pdf,,,,,,,0,101.04,
75,F040,On/Off delay relay timer ,0,,1,1,Allied,Schneider/Magnecraft,822TD10H-UNI,0.1s-10d; E-Mech; DPDT; 15A@240VAC/24VDC; Ctrl-V12-240; DIN Rail,60.35,1,,,,,,,,0,,60.35
76,F050,"Dr2260d20v/Ssr Relay, Din Rail Mount 22.5mm, 600vac/20a, 4-32vdc In, Zero Cross / Rohs: y",0,,3,3,Mouser,Crydom,DR2260D20V,,62,1,http://datasheet.octopart.com/DR2260D20V-Crydom-datasheet-57737285.pdf,,,,,,,0,,186
77,FH-254-1x13,"Female Headers, 0.1"" 13-position",67,,0,4,,China,,100 for 14.99 on ebay,0.15,1,,,,,,,,0,10.05,
78,G001,USB A Male to Female 1M,0,,0,0,eBay,,,,5,1,,,,,,,,0,,
79,H000,"15 W Watt, Single Output, 24V@0.63A DIN Rail Mount Power Plastic AC-DC Power Supply",0,,0,0,Allied,Mean Well,DR-15-24,,10.918,1,http://datasheet.octopart.com/DR-15-24-Mean-Well-datasheet-10901262.pdf,,,,,,,0,,
80,H001,110VAC to 24VDC 1.5A DIN RAIL Power Supply 30W T-Shape,0,,2,1,Allied,Mean Well,DR-30-24,AC-DC Industrial DIN rail power supply; Output 24Vdc at 1.5A; plastic T-shape,17.54,1,http://datasheet.octopart.com/DR-30-24-Mean-Well-datasheet-10900789.pdf,,,,,,,0,,35.08
81,H002,110VAC to 5VDC 2.4A DIN RAIL Power Supply  T-Shape,2,,2,2,Allied,Mean Well,DR-15-5,AC-DC Industrial DIN rail power supply; Output 5Vdc at 2.4A; plastic T-shape,15.36,1,http://datasheet.octopart.com/DR-15-5-Mean-Well-datasheet-10901262.pdf,,,,,,,0,30.72,30.72
82,H003,110VAC to 24VDC 2.5A DIN RAIL Power Supply 60W T-Shape,0,,1,1,Allied,Mean Well,DR-60-24,AC-DC Industrial DIN rail power supply; Output 24Vdc at 2.5A; plastic T-shape,23.77,1,http://datasheet.octopart.com/DR-60-24-Mean-Well-datasheet-10900892.pdf,,,,,,,0,,23.77
83,H004,110VAC to 24VDC 4.2A DIN RAIL Power Supply 100W T-Shape,0,,0,0,Allied,Mean Well ,DR-100-24,AC-DC Industrial DIN rail power supply; Output 24Vdc at 4.2A; plastic T-shape,34.1,1,http://datasheet.octopart.com/DR-100-24-Mean-Well-datasheet-10901488.pdf,,,,,,,0,,
